Experiment,Regime,Treatment,Tt_length,Xpoint,Exp_date,Experimenter,Img_date,Markers
052714_R4a,R4,Littermate,NA,sp,20140527,NS,20140609,C2G6NG
052714_R4a,R4,PD03_1,20h,ep,20140527,NS,20140609,C2G6NG
052714_R4b,R4,Control,20h,ep,20140527,NS,20140616,C2G6NG
052714_R4b,R4,Littermate,NA,sp,20140527,NS,20140616,C2G6NG
052714_R4b,R4,PD03_1,20h,ep,20140527,NS,20140616,C2G6NG
052714_R5a,R3,Control,29h,ep,20140527,NS,20140602,C2G6NG
052714_R5a,R3,Littermate,NA,sp,20140527,NS,20140602,C2G6NG
052714_R5a,R3,PD03_1,29h,ep,20140527,NS,20140602,C2G6NG
052714_R5b,R5,Control,29h,ep,20140527,NS,20140603,C2G6NG
052714_R5b,R5,Littermate,NA,sp,20140527,NS,20140603,C2G6NG
052714_R5b,R5,PD03_1,29h,ep,20140527,NS,20140603,C2G6NG
052715_R4a,R3,AZD_1,20h,ep,20150527,NS,20150611,C2G6NG
052715_R4a,R3,Littermate,NA,sp,20150527,NS,20150610,C2G6NG
052715_R4a,R3,SU_20,20h,ep,20150527,NS,20150611,C2G6NG
052715_R4b,R4,AZD_1,20h,ep,20150527,NS,20150612,C2G6NG
052715_R4b,R4,Littermate,NA,sp,20150527,NS,20150610,C2G6NG
052715_R4b,R4,SU_20,20h,ep,20150527,NS,20150612,C2G6NG
060314_1,NA,Littermate,NA,NA,20140603,KW,20140623,C2G6NG
060414_1,NA,Littermate,NA,NA,20140604,KW,20140624,C2G6NG
060414_2,NA,Littermate,NA,NA,20140604,KW,20140617,C2G6NG
060514_1,NA,Littermate,NA,NA,20140605,KW,20140616,C2G6NG
060915_R3,R3,AZD_1,20h,ep,20150609,NS,20150618,O4G4NG
060915_R3,R3,Control,20h,ep,20150609,NS,20150618,O4G4NG
060915_R3,R3,Littermate,NA,sp,20150609,NS,20150618,C2G6NG
060915_R3,R3,SU_20,20h,ep,20150609,NS,20150618,O4G4NG
060915_R4,R4,Control,20h,ep,20150609,NS,20150617,O4G4NG
060915_R4,R4,FGF4_1000,20h,ep,20150609,NS,20150617,O4G4NG
060915_R4,R4,Littermate,NA,sp,20150609,NS,20150617,C2G6NG
060915_R4,R4,PD03_1,20h,ep,20150609,NS,20150617,O4G4NG
061014_1,NA,Littermate,NA,NA,20140610,KW,20140618,C2G6NG
061014_2,NA,Littermate,NA,NA,20140610,KW,20140624,C2G6NG
061014_3,NA,Littermate,NA,NA,20140610,KW,20140708,C2G6NG
061014_4,NA,Littermate,NA,NA,20140610,KW,20140707,C2G6NG
061014_5,NA,Littermate,NA,NA,20140610,KW,20140709,C2G6NG
071114_1,NA,Littermate,NA,NA,20140711,KW,20140716,C2G6NG
071914_R3L,R3L,Control,30h,ep,20140719,NS,20140730,C2G6NG
071914_R3L,R3L,FGF4_1000,30h,ep,20140719,NS,20140730,C2G6NG
071914_R3L,R3L,Littermate,NA,sp,20140719,NS,20140730,C2G6NG
072814_R3F,R5,Control,24h,ep,20140728,NS,20140813,C2G6NG
072814_R3F,R5,FGF4_1000,24h,ep,20140728,NS,20140813,C2G6NG
072814_R3F,R5,Littermate,NA,sp,20140728,NS,20140813,C2G6NG
072814_R3P,R5,Control,24h,ep,20140728,NS,20140814,C2G6NG
072814_R3P,R5,Littermate,NA,sp,20140728,NS,20140814,C2G6NG
072814_R3P,R5,PD03_1,24h,ep,20140728,NS,20140814,C2G6NG
081114_R8,R8,Control,24h,xp,20140811,NS,20140906,C2G6NG
081114_R8,R8,Control,48h,ep,20140811,NS,20140906,C2G6NG
081114_R8,R8,FGF4_1000,24h,xp,20140811,NS,20140906,C2G6NG
081114_R9,R9,Control,30h,xp,20140811,NS,20140907,C2G6NG
081114_R9,R9,Control,48h,ep,20140811,NS,20140907,C2G6NG
081114_R9,R9,FGF4_1000,30h,xp,20140811,NS,20140907,C2G6NG
081114_R9,R9,FGF4_1000,48h,ep,20140811,NS,20140907,C2G6NG
081715_R6,R6,Control,15h,ep,20150817,NS,20150826,C2G6NG
081715_R6,R6,FGF4_1000,15h,ep,20150817,NS,20150826,C2G6NG
081715_R6,R6,Littermate,NA,sp,20150817,NS,20150826,C2G6NG
081715_R6,R6,PD03_1,15h,ep,20150817,NS,20150826,C2G6NG
081815_R6a,R6,Control,15h,ep,20150818,NS,20150831,C2G6NG
081815_R6a,R6,FGF4_1000,15h,ep,20150818,NS,20150831,C2G6NG
081815_R6a,R6,Littermate,NA,sp,20150818,NS,20150831,C2G6NG
081815_R6b,R6,Control,15h,ep,20150818,NS,20150831,C2G6NG
081815_R6b,R6,Littermate,NA,sp,20150818,NS,20150831,C2G6NG
081815_R6b,R6,PD03_1,15h,ep,20150818,NS,20150831,C2G6NG
081815_R6c,R6,AZD_1,15h,ep,20150818,NS,20150909,C2G6NG
081815_R6c,R6,Control,15h,ep,20150818,NS,20150909,C2G6NG
081815_R6c,R6,Littermate,NA,sp,20150818,NS,20150909,C2G6NG
082015_LM,NA,Littermate,NA,NA,20150820,NS,20150826,C2G6NG
091514_R8,R8,Control,48h,ep,20140915,NS,20141106,C2G6NG
091514_R8,R8,FGF4_1000,24h,xp,20140915,NS,20141106,C2G6NG
091514_R8,R8,FGF4_1000,48h,ep,20140915,NS,20141106,C2G6NG
091514_R8b,R8,Control,24h,xp,20140915,NS,20141113,C2G6NG
091514_R8b,R8,Control,48h,ep,20140915,NS,20141113,C2G6NG
091514_R8b,R8,PD03_1,24h,xp,20140915,NS,20141113,C2G6NG
091514_R8b,R8,PD03_1,48h,ep,20140915,NS,20141113,C2G6NG
091514_R9,R9,Control,30h,xp,20140915,NS,20141107,C2G6NG
091514_R9,R9,Control,48h,ep,20140915,NS,20141107,C2G6NG
091514_R9,R9,FGF4_1000,30h,xp,20140915,NS,20141107,C2G6NG
091514_R9,R9,FGF42PD,48h,ep,20140915,NS,20141107,C2G6NG
091514_R9b,R9,Control,30h,xp,20140915,NS,20141114,C2G6NG
091514_R9b,R9,Control,48h,ep,20140915,NS,20141114,C2G6NG
091514_R9b,R9,PD03_1,30h,xp,20140915,NS,20141114,C2G6NG
091514_R9b,R9,PD03_1,48h,ep,20140915,NS,20141114,C2G6NG
102214_R4,R4,Control,20h,ep,20141022,NS,20141106,C2G6NG
102214_R4,R4,Littermate,NA,sp,20141022,NS,20141106,C2G6NG
102214_R4,R4,PD03_1,20h,ep,20141022,NS,20141106,C2G6NG
112415_LM,NA,Littermate,NA,NA,20151124,NS,20151130,C2G6NG
112415_LMb,NA,Littermate,NA,NA,20151124,NS,20151201,C2G6NG
